,市HP,フリガナ,住所,電話番号,メールアドレス,測地系,備考,行政組織規則,公共施設等総合管理計画,A,B,C,D：C＝「有」の場合,E：C＝「有」かつD＝「無」の場合,,,
教育・文化・産業施設,,,,,,,,,,,,,,,,,
市民プラザたけふ「福祉健康センター」,〇,シミンプラザタケフ「フクシケンコウセンター」,越前市府中一丁目１１番２号,0778258800,-,E913849882494589,,〇,×,有,,有,,,越前市福祉健康センター設置及び管理条例,越前市福祉健康センター,越前市府中一丁目11番2号
生涯学習センター,〇,ショウガイガクシュウセンンター,福井県越前市府中一丁目13-7 ,0778223005,center@city.echizen.lg.jp,E913849882472395,,〇生涯学習センター,〇,有,,有,,,越前市生涯学習センター設置及び管理条例,越前市生涯学習センター,越前市府中一丁目13番7号
生涯学習センター今立分館,×,ショウガイガクシュウセンンターイマダテブンカン,福井県越前市定友町１０−２−２,0778421438 ,okamoto-ko@city.echizen.lg.jp,E913849984841648,"HPに記載あり
名前を修正すべきです",×,〇,,,,,,越前市生涯学習センター設置及び管理条例,越前市生涯学習センター今立分館,越前市定友町第10号2番地2
武生公会堂記念館,〇,タケフコウカイドウキネンカン,福井県越前市蓬莱町8番8号,0778213900 ,bunka@city.echizen.lg.jp,E913849881633714,,〇武生公会堂記念館,〇,無,文化課,無,無,,越前市武生公会堂記念館設置及び管理条例,越前市武生公会堂記念館,越前市蓬莱町8番8号
文化センター,〇,ブンカセンター,越前市高瀬二丁目3番3号,0778235057,tbc@mitene.or.jp,E913849881119654,,×,〇,有,,有,,,越前市文化センター設置及び管理条例,越前市文化センター,越前市高瀬二丁目3番3号
文化センター中ホール,×,,,,,,,×,〇,,,,,,,,
観光・匠の技案内所,〇,カンコウ・タクミノワザアンナイジョ,越前市府中一丁目2-3,0778240655 ,-,E913849882461919,,×,×,無,観光交流推進課,無,無,,,,
金華山グリーンランド,〇,キンカザングリーンランド,福井県越前市米口町58-25,0778281149,nourinseibi@city.echizen.lg.jp,E913849741567385,,〇,〇,無,農林整備課,有,無,,,,
ふるさとギャラリー「叔羅（しくら）」,〇,フルサトギャラリー「シクラ」,越前市東千福町17番17号 ,0778235811 ,g-shikura@gh.ttn.ne.jp,E913849846999199,,×,〇,有,,有,,,,,
中央図書館,〇,チュウオウトショカン,福井県越前市高瀬二丁目７－２４,0778220354,mail@lib-city-echizen.jp,E913849849976979,,〇図書館,〇,無,図書館,無,無,,,,
今立図書館,〇,イマダテトショカン,福井県越前市定友町２１－３－１ ,0778430229,-,E913849987295823,,〇図書館,〇,無,図書館,無,無,,,,
かこさとし　ふるさと絵本館「石石」,×,カコサトシ　フルサトエホンカン「ラク」,福井県越前市高瀬一丁目14-7,0778212019,raku@city.echizen.lg.jp,E913849849913747,"「石石」→正しくは「砳」
HPに記載あり",〇かこさとしふるさと絵本館「砳」,〇,,図書館,,,,,,
紫ゆかりの館（紫式部と国府資料館）,〇,ムラサキユカリノヤカタ,福井県越前市東千福町21-12,0778435013,-,E913849849342443,,×,×,無,,無,無,,,,
八ッ杉森林学習センター,〇,ヤツスギシンリンガクシュウセンター,福井県越前市別印町19-1-1,0778423800,info@yatsusugi.jp,E913857748151665,,〇,〇,無,農林整備課,有,無,,,,
いまだて芸術館,〇,イマダテゲイジュツカン,福井県越前市粟田部町11-1-1,0778422700,arthall@wt.ttn.ne.jp,E913849987256146,,×,〇,無,文化課,有,無,,,,
万葉の里味真野苑,×,マンヨウノサトアジマノエン,福井県越前市余川町55-1 ,0778277800 ,-,E913849946581183,,〇,×,,,,,,,,
万葉館,〇,マンヨウカン,福井県越前市余川町55-1,0778272204,manyoukan@es.ttn.ne.jp,E913849946581183,,×,×,無,万葉菊花園,無,無,,,,
あいぱーく今立,〇,アイパークイマダテ,福井県越前市粟田部町第9号1番地の9 ,0778431809,-,E913849987283877,,△（別表第3に記載有）,×,有,,有,,,,,
市民プラザたけふ,〇,シミンプラザタケフ,越前市府中一丁目１１番２号 ,0778258800 ,-,E913849882494589,,×,×,有,,有,,,,,
万葉菊花園,〇,マンヨウキッカエン,福井県越前市余川町22-96-1,0778277800,manyou@city.echizen.lg.jp,E913849946858687,,〇,〇,無,万葉菊花園,無,無,,,,
越前市しらやまいこい館,〇,エチゼンシシラヤマイコイカン,-,,-,-,市役所HPに記載なし,〇,〇,有,,有,,,,,
越前市労働福祉会館,〇,エチゼンシロウドウフクシカイカン,-,,-,-,市役所HPに記載なし,×,×,有,,有,,,,,
労働福祉会館,×,ロウドウフクシカイカン,越前市中央2丁目5-1,0778220369,-,E913849873614481,市役所HPを参考,〇,〇,,,,,,,,
男女共同参画センター,×,ダンジョキョウドウサンカクセンター,福井県越前市府中一丁目11-2 ,0778244446,witt@angel.ocn.ne.jp,E913849882494589,センターHPを参考,〇,×,,,,,,,,
市民交流センター,×,シミンコウリュウウセンター,越前市府中一丁目１１番２号 ,0778258800,-,E913849882494589,市役所HPを参考,〇,×,,,,,,,,
子ども広場,×,コドモヒロバ,-,,-,-,記載なし,〇,×,,,,,,,,
国高労働福祉センター,×,クニタカロウドウフクシセンター,越前市瓜生町38-8 ,09021254880,-,E913849889976714,市役所HPを参考,〇,〇,,,,,,,,
国高ふれあいセンター,×,クニタカフレアイセンター,越前市瓜生町38-5,09021254880,-,E913849889984752,市役所HPを参考,〇,〇,,,,,,,,
式部ふれあい館,×,シキブフレアイカン,越前市国高1丁目13-11,0778230047,-,E913849886657529,市役所HPを参考,〇,〇,,,,,,,,
