施設名,フリガナ,住所,電話番号,メールアドレス,geo3x3
市民プラザたけふ「福祉健康センター」,シミンプラザタケフ「フクシケンコウセンター」,越前市府中一丁目１１番２号,778258800,-,E913849882494589
生涯学習センター,ショウガイガクシュウセンンター,福井県越前市府中一丁目13-7 ,778223005,center@city.echizen.lg.jp,E913849882472395
武生公会堂記念館,タケフコウカイドウキネンカン,福井県越前市蓬莱町8番8号,778213900,bunka@city.echizen.lg.jp,E913849881633714
文化センター,ブンカセンター,越前市高瀬二丁目3番3号,778235057,tbc@mitene.or.jp,E913849881119654
観光・匠の技案内所,カンコウ・タクミノワザアンナイジョ,越前市府中一丁目2-3,778240655,-,E913849882461919
金華山グリーンランド,キンカザングリーンランド,福井県越前市米口町58-25,778281149,nourinseibi@city.echizen.lg.jp,E913849741567385
ふるさとギャラリー「叔羅（しくら）」,フルサトギャラリー「シクラ」,越前市東千福町17番17号 ,778235811,g-shikura@gh.ttn.ne.jp,E913849846999199
中央図書館,チュウオウトショカン,福井県越前市高瀬二丁目７－２４,778220354,mail@lib-city-echizen.jp,E913849849976979
今立図書館,イマダテトショカン,福井県越前市定友町２１－３－１ ,778430229,-,E913849987295823
紫ゆかりの館（紫式部と国府資料館）,ムラサキユカリノヤカタ,福井県越前市東千福町21-12,778435013,-,E913849849342443
八ッ杉森林学習センター,ヤツスギシンリンガクシュウセンター,福井県越前市別印町19-1-1,778423800,info@yatsusugi.jp,E913857748151665
いまだて芸術館,イマダテゲイジュツカン,福井県越前市粟田部町11-1-1,778422700,arthall@wt.ttn.ne.jp,E913849987256146
万葉館,マンヨウカン,福井県越前市余川町55-1,778272204,manyoukan@es.ttn.ne.jp,E913849946581183
あいぱーく今立,アイパークイマダテ,福井県越前市粟田部町第9号1番地の9 ,778431809,-,E913849987283877
市民プラザたけふ,シミンプラザタケフ,越前市府中一丁目１１番２号 ,778258800,-,E913849882494589
万葉菊花園,マンヨウキッカエン,福井県越前市余川町22-96-1,778277800,manyou@city.echizen.lg.jp,E913849946858687
越前市しらやまいこい館,エチゼンシシラヤマイコイカン,-,-,-,-
越前市労働福祉会館,エチゼンシロウドウフクシカイカン,-,-,-,-
