https://schema.org/Time,https://code4fukui.github.io/rdf/#number_of_MaleVoters,https://code4fukui.github.io/rdf/#number_of_FemaleVoters,https://code4fukui.github.io/rdf/#total_voters,https://code4fukui.github.io/rdf/#number_of_MaleTurnout,https://code4fukui.github.io/rdf/#number_of_FemaleTurnout,https://code4fukui.github.io/rdf/#total_turnout
午前９時,"2,181","1,677","3,858",6.79,4.92,5.83
午前１０時,"4,182","3,624","7,806",13.02,10.63,11.79
午前１１時,"6,056","5,575","11,631",18.86,16.36,17.57
午後１時,"8,586","8,135","16,721",26.74,23.87,25.26
午後２時,"9,655","9,303","18,958",30.07,27.3,28.64
午後３時,"10,664","10,325","20,989",33.21,30.3,31.71
午後４時,"11,443","11,126","22,569",35.64,32.65,34.1
午後５時,"12,219","11,947","24,166",38.05,35.06,36.51
午後６時,"12,839","12,580","25,419",39.98,36.92,38.4
午後７時,"13,412","13,159","26,571",41.77,38.62,40.14
期日前投票,"3,564","4,558","8,122",,,
