https://schema.org/Time,https://code4fukui.github.io/rdf/#number_of_MaleVoters,https://code4fukui.github.io/rdf/#number_of_FemaleVoters,https://code4fukui.github.io/rdf/#total_voters,https://code4fukui.github.io/rdf/#number_of_MaleTurnout,https://code4fukui.github.io/rdf/#number_of_FemaleTurnout,https://code4fukui.github.io/rdf/#total_turnout
午前９時,"2,177","1,676","3,853",6.74,4.89,5.79
午前１０時,"4,174","3,621","7,795",12.92,10.57,11.71
午前１１時,"6,046","5,565","11,611",18.71,16.25,17.44
午後１時,"8,570","8,125","16,695",26.52,23.72,25.08
午後２時,"9,641","9,290","18,931",29.84,27.13,28.44
午後３時,"10,652","10,313","20,965",32.97,30.11,31.5
午後４時,"11,430","11,114","22,544",35.37,32.45,33.87
午後５時,"12,210","11,941","24,151",37.79,34.87,36.29
午後６時,"12,825","12,570","25,395",39.69,36.7,38.15
午後７時,"13,398","13,155","26,553",41.47,38.41,39.89
期日前投票,"5,277","6,586","11,863",,,
