https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone,https://schema.org/category,https://schema.org/description
武生東小学校,越前市国府二丁目9-12,防災安全課,35.9084868,136.1685104,東地区,0778-22-0367,category1,防災
武生東小学校,越前市国府二丁目9-12,防災安全課,35.9084868,136.1685104,東地区,0778-22-0367,category2,広域避難場所
武生東小学校,越前市国府二丁目9-12,防災安全課,35.9084868,136.1685104,東地区,0778-22-0367,category3,全災害
武生西小学校,越前市中央二丁目2-13,防災安全課,35.9025706,136.1581421,西地区,0778-22-0408,category1,防災
武生西小学校,越前市中央二丁目2-13,防災安全課,35.9025706,136.1581421,西地区,0778-22-0408,category2,広域避難場所
武生西小学校,越前市中央二丁目2-13,防災安全課,35.9025706,136.1581421,西地区,0778-22-0408,category3,全災害
武生第一中学校,越前市平出一丁目6-1,防災安全課,35.9085588,136.1584336,西地区,0778-23-1411,category1,防災
武生第一中学校,越前市平出一丁目6-1,防災安全課,35.9085588,136.1584336,西地区,0778-23-1411,category2,広域避難場所
武生第一中学校,越前市平出一丁目6-1,防災安全課,35.9085588,136.1584336,西地区,0778-23-1411,category3,全災害
武生南小学校,越前市武生柳町13-20,防災安全課,35.8942968,136.1643807,南地区,0778-22-0366,category1,防災
武生南小学校,越前市武生柳町13-20,防災安全課,35.8942968,136.1643807,南地区,0778-22-0366,category2,広域避難場所
武生南小学校,越前市武生柳町13-20,防災安全課,35.8942968,136.1643807,南地区,0778-22-0366,category3,全災害
武生第二中学校,越前市妙法寺町42-15,防災安全課,35.8873808,136.1603785,南地区,0778-23-1422,category1,防災
武生第二中学校,越前市妙法寺町42-15,防災安全課,35.8873808,136.1603785,南地区,0778-23-1422,category2,広域避難場所
武生第二中学校,越前市妙法寺町42-15,防災安全課,35.8873808,136.1603785,南地区,0778-23-1422,category3,全災害
神山小学校,越前市広瀬町102-43,防災安全課,35.8857334,136.1360452,神山地区,0778-22-1104,category1,防災
神山小学校,越前市広瀬町102-43,防災安全課,35.8857334,136.1360452,神山地区,0778-22-1104,category2,広域避難場所
神山小学校,越前市広瀬町102-43,防災安全課,35.8857334,136.1360452,神山地区,0778-22-1104,category3,全災害
吉野小学校,越前市本保町17-1,防災安全課,35.9261038,136.1572387,吉野地区,0778-22-0192,category1,防災
吉野小学校,越前市本保町17-1,防災安全課,35.9261038,136.1572387,吉野地区,0778-22-0192,category2,広域避難場所
吉野小学校,越前市本保町17-1,防災安全課,35.9261038,136.1572387,吉野地区,0778-22-0192,category3,全災害
