https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone,https://schema.org/category,https://schema.org/description
武生東小学校,越前市国府二丁目9-12,防灾安全课,35.9084868,136.1685104,東地区,0778-22-0367,category1,防灾
武生東小学校,越前市国府二丁目9-12,防灾安全课,35.9084868,136.1685104,東地区,0778-22-0367,category2,广域避难所
武生東小学校,越前市国府二丁目9-12,防灾安全课,35.9084868,136.1685104,東地区,0778-22-0367,category3,全部灾害
武生西小学校,越前市中央二丁目2-13,防灾安全课,35.9025706,136.1581421,西地区,0778-22-0408,category1,防灾
武生西小学校,越前市中央二丁目2-13,防灾安全课,35.9025706,136.1581421,西地区,0778-22-0408,category2,广域避难所
武生西小学校,越前市中央二丁目2-13,防灾安全课,35.9025706,136.1581421,西地区,0778-22-0408,category3,全部灾害
武生第一中学校,越前市平出一丁目6-1,防灾安全课,35.9085588,136.1584336,西地区,0778-23-1411,category1,防灾
武生第一中学校,越前市平出一丁目6-1,防灾安全课,35.9085588,136.1584336,西地区,0778-23-1411,category2,广域避难所
武生第一中学校,越前市平出一丁目6-1,防灾安全课,35.9085588,136.1584336,西地区,0778-23-1411,category3,全部灾害
武生南小学校,越前市武生柳町13-20,防灾安全课,35.8942968,136.1643807,南地区,0778-22-0366,category1,防灾
武生南小学校,越前市武生柳町13-20,防灾安全课,35.8942968,136.1643807,南地区,0778-22-0366,category2,广域避难所
武生南小学校,越前市武生柳町13-20,防灾安全课,35.8942968,136.1643807,南地区,0778-22-0366,category3,全部灾害
武生第二中学校,越前市妙法寺町42-15,防灾安全课,35.8873808,136.1603785,南地区,0778-23-1422,category1,防灾
武生第二中学校,越前市妙法寺町42-15,防灾安全课,35.8873808,136.1603785,南地区,0778-23-1422,category2,广域避难所
武生第二中学校,越前市妙法寺町42-15,防灾安全课,35.8873808,136.1603785,南地区,0778-23-1422,category3,全部灾害
神山小学校,越前市広瀬町102-43,防灾安全课,35.8857334,136.1360452,神山地区,0778-22-1104,category1,防灾
神山小学校,越前市広瀬町102-43,防灾安全课,35.8857334,136.1360452,神山地区,0778-22-1104,category2,广域避难所
神山小学校,越前市広瀬町102-43,防灾安全课,35.8857334,136.1360452,神山地区,0778-22-1104,category3,全部灾害
吉野小学校,越前市本保町17-1,防灾安全课,35.9261038,136.1572387,吉野地区,0778-22-0192,category1,防灾
吉野小学校,越前市本保町17-1,防灾安全课,35.9261038,136.1572387,吉野地区,0778-22-0192,category2,广域避难所
吉野小学校,越前市本保町17-1,防灾安全课,35.9261038,136.1572387,吉野地区,0778-22-0192,category3,全部灾害
コミュニティセンター柳荘,越前市家久町105-10-1,防灾安全课,35.9204726,136.1719215,吉野地区,0778-23-3436,category1,防灾
コミュニティセンター柳荘,越前市家久町105-10-1,防灾安全课,35.9204726,136.1719215,吉野地区,0778-23-3436,category2,广域避难所
コミュニティセンター柳荘,越前市家久町105-10-1,防灾安全课,35.9204726,136.1719215,吉野地区,0778-23-3436,category3,全部灾害
国高小学校,越前市国高一丁目15-5,防灾安全课,35.9123147,136.1859754,国高地区,0778-22-1045,category1,防灾
国高小学校,越前市国高一丁目15-5,防灾安全课,35.9123147,136.1859754,国高地区,0778-22-1045,category2,广域避难所
国高小学校,越前市国高一丁目15-5,防灾安全课,35.9123147,136.1859754,国高地区,0778-22-1045,category3,全部灾害
武生第三中学校,越前市村国二丁目3-56,防灾安全课,35.9057096,136.1758765,国高地区,0778-23-1433,category1,防灾
武生第三中学校,越前市村国二丁目3-56,防灾安全课,35.9057096,136.1758765,国高地区,0778-23-1433,category2,广域避难所
武生第三中学校,越前市村国二丁目3-56,防灾安全课,35.9057096,136.1758765,国高地区,0778-23-1433,category3,全部灾害
大虫小学校,越前市高森町14-15,防灾安全课,35.9062085,136.1418661,大虫地区,0778-22-1109,category1,防灾
大虫小学校,越前市高森町14-15,防灾安全课,35.9062085,136.1418661,大虫地区,0778-22-1109,category2,广域避难所
大虫小学校,越前市高森町14-15,防灾安全课,35.9062085,136.1418661,大虫地区,0778-22-1109,category3,全部灾害
坂口小学校,越前市湯谷町24-25,防灾安全课,35.8589351,136.0868953,坂口地区,0778-28-1808,category1,防灾
坂口小学校,越前市湯谷町24-25,防灾安全课,35.8589351,136.0868953,坂口地区,0778-28-1808,category2,广域避难所
坂口小学校,越前市湯谷町24-25,防灾安全课,35.8589351,136.0868953,坂口地区,0778-28-1808,category3,全部灾害
王子保小学校,越前市今宿町5-14,防灾安全课,35.8661114,136.1674812,王子保地区,0778-22-1293,category1,防灾
王子保小学校,越前市今宿町5-14,防灾安全课,35.8661114,136.1674812,王子保地区,0778-22-1293,category2,广域避难所
王子保小学校,越前市今宿町5-14,防灾安全课,35.8661114,136.1674812,王子保地区,0778-22-1293,category3,全部灾害
武生第六中学校,越前市四郎丸町16-1,防灾安全课,35.8657,136.1590542,王子保地区,0778-22-1462,category1,防灾
武生第六中学校,越前市四郎丸町16-1,防灾安全课,35.8657,136.1590542,王子保地区,0778-22-1462,category2,广域避难所
武生第六中学校,越前市四郎丸町16-1,防灾安全课,35.8657,136.1590542,王子保地区,0778-22-1462,category3,全部灾害
北日野小学校,越前市小野谷町2-2,防灾安全课,35.8894509,136.190595,北日野地区,0778-22-1095,category1,防灾
北日野小学校,越前市小野谷町2-2,防灾安全课,35.8894509,136.190595,北日野地区,0778-22-1095,category2,广域避难所
北日野小学校,越前市小野谷町2-2,防灾安全课,35.8894509,136.190595,北日野地区,0778-22-1095,category3,全部灾害
万葉中学校,越前市西尾町48-18,防灾安全课,35.8922735,136.2135026,北日野地区,0778-27-1258,category1,防灾
万葉中学校,越前市西尾町48-18,防灾安全课,35.8922735,136.2135026,北日野地区,0778-27-1258,category2,广域避难所
万葉中学校,越前市西尾町48-18,防灾安全课,35.8922735,136.2135026,北日野地区,0778-27-1258,category3,全部灾害
