https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone,https://schema.org/category,https://schema.org/description
TAKEFU HIGASHI SHOGAKKO,Kokufu 2chome 9-12,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9084868,136.1685104,REGIÃO DE HIGASHI,0778-22-0367,category1,prevenção de desastres
TAKEFU HIGASHI SHOGAKKO,Kokufu 2chome 9-12,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9084868,136.1685104,REGIÃO DE HIGASHI,0778-22-0367,category2,ÁREA DE REFÚGIO DA REGIÃO
TAKEFU HIGASHI SHOGAKKO,Kokufu 2chome 9-12,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9084868,136.1685104,REGIÃO DE HIGASHI,0778-22-0367,category3,Todos os tipos de desastres
TAKEFU NISHI SHOGAKKO,Chuo 2chome 2-13,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9025706,136.1581421,REGIÃO DE NISHI,0778-22-0408,category1,prevenção de desastres
TAKEFU NISHI SHOGAKKO,Chuo 2chome 2-13,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9025706,136.1581421,REGIÃO DE NISHI,0778-22-0408,category2,ÁREA DE REFÚGIO DA REGIÃO
TAKEFU NISHI SHOGAKKO,Chuo 2chome 2-13,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9025706,136.1581421,REGIÃO DE NISHI,0778-22-0408,category3,Todos os tipos de desastres
TAKEFU DAI ICHI CHUGAKKO,Hiraide 1chome 6-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9085588,136.1584336,REGIÃO DE NISHI,0778-23-1411,category1,prevenção de desastres
TAKEFU DAI ICHI CHUGAKKO,Hiraide 1chome 6-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9085588,136.1584336,REGIÃO DE NISHI,0778-23-1411,category2,ÁREA DE REFÚGIO DA REGIÃO
TAKEFU DAI ICHI CHUGAKKO,Hiraide 1chome 6-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9085588,136.1584336,REGIÃO DE NISHI,0778-23-1411,category3,Todos os tipos de desastres
TAKEFU MINAMI SHOGAKKO,Takefu Yanagi-cho 13-20,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8942968,136.1643807,REGIÃO DE MINAMI,0778-22-0366,category1,prevenção de desastres
TAKEFU MINAMI SHOGAKKO,Takefu Yanagi-cho 13-20,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8942968,136.1643807,REGIÃO DE MINAMI,0778-22-0366,category2,ÁREA DE REFÚGIO DA REGIÃO
TAKEFU MINAMI SHOGAKKO,Takefu Yanagi-cho 13-20,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8942968,136.1643807,REGIÃO DE MINAMI,0778-22-0366,category3,Todos os tipos de desastres
TAKEFU DAI NI CHUGAKKO,Miyohiji-cho 42-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8873808,136.1603785,REGIÃO DE MINAMI,0778-23-1422,category1,prevenção de desastres
TAKEFU DAI NI CHUGAKKO,Miyohiji-cho 42-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8873808,136.1603785,REGIÃO DE MINAMI,0778-23-1422,category2,ÁREA DE REFÚGIO DA REGIÃO
TAKEFU DAI NI CHUGAKKO,Miyohiji-cho 42-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8873808,136.1603785,REGIÃO DE MINAMI,0778-23-1422,category3,Todos os tipos de desastres
KAMIYAMA SHOGAKKO,Hirose-cho 102-43,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8857334,136.1360452,REGIÃO DE KAMIYAMA,0778-22-1104,category1,prevenção de desastres
KAMIYAMA SHOGAKKO,Hirose-cho 102-43,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8857334,136.1360452,REGIÃO DE KAMIYAMA,0778-22-1104,category2,ÁREA DE REFÚGIO DA REGIÃO
